Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Limpieza de carril/pista y bermas T2,m2,2025-01-20,125+430,125+450,20
Limpieza Manual de Cuneta de Vía T2,ml,2025-01-23,125+400,125+480,26
Remocion de Derrumbes T2,m3,2025-01-23,125+400,125+480,24
Limpieza de carril/pista y bermas T2,m2,2025-01-25,125+440,125+460,60
Limpieza de carril/pista y bermas T2,m2,2025-01-26,125+440,125+450,40
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2025-01-27,125+400,125+440,36
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-01,125+400,125+440,30
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-02,125+400,125+440,105
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-06,125+400,125+370,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-06,125+400,125+440,15
Limpieza de carril/pista y bermas T2,m2,2025-02-09,125+400,125+440,40
Limpieza de carril/pista y bermas T2,m2,2025-02-11,125+400,125+420,20
Limpieza de carril/pista y bermas T2,m2,2025-02-11,125+430,125+460,30
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-12,125+300,125+400,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-12,125+400,125+500,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-13,125+394,125+495,90
Limpieza de Cajas de Inspección Subdren T2,und,2025-02-13,125+394,125+490,3
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-14,125+400,125+440,40
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-15,125+400,125+440,120
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-16,125+400,125+440,150
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-17,125+400,125+440,300
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-18,125+400,125+440,105
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-20,125+400,125+440,4
Limpieza de carril/pista y bermas T2,m2,2025-02-22,125+440,125+460,20
Remocion de Derrumbes T2,m3,2025-02-23,125+400,125+450,72
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2025-03-02,125+400,125+440,15
Remocion de Derrumbes T2,m3,2025-03-03,125+400,125+450,72
Limpieza Manual de Zanjas de Coronación T2,ml,2025-03-04,125+400,125+440,253
Remocion de Derrumbes T2,m3,2025-03-04,125+400,125+450,108
Remocion de Derrumbes T2,m3,2025-03-05,125+400,125+450,264
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-03-06,125+394,125+495,40
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-03-06,125+394,125+495,40
Limpieza Manual de Zanjas de Coronación T2,ml,2025-03-06,125+394,125+495,101
Limpieza de Cajas de Inspección Subdren T2,und,2025-03-06,125+394,125+495,2
Remocion de Derrumbes T2,m3,2025-03-06,125+400,125+450,300
Remocion de Derrumbes T2,m3,2025-03-07,125+400,125+450,252
Limpieza Manual de Cuneta de Vía T2,ml,2025-03-10,125+500,125+400,100
Limpieza de carril/pista y bermas T2,m2,2025-03-11,125+400,125+460,60
Limpieza de carril/pista y bermas T2,m2,2025-03-12,125+400,125+460,120
Remocion de Derrumbes T2,m3,2025-03-13,125+400,125+440,120
Remocion de Derrumbes T2,m3,2025-03-14,125+400,125+440,132
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2025-03-16,125+400,125+440,15
Remocion de Derrumbes T2,m3,2025-03-16,125+400,125+440,84
Remocion de Derrumbes T2,m3,2025-03-17,125+400,125+440,144
Remocion de Derrumbes T2,m3,2025-03-18,125+400,125+440,165
Remocion de Derrumbes T2,m3,2025-03-19,125+400,125+440,15
Remocion de Derrumbes T2,m3,2025-03-20,125+400,125+440,360
Limpieza de Parapetos Veredas de Concreto T2,m2,2025-03-20,125+400,125+440,12
Limpieza de carril/pista y bermas T2,m2,2025-03-24,125+300,125+500,400
Remocion de Derrumbes T2,m3,2025-03-27,125+400,125+440,105
Remocion de Derrumbes T2,m3,2025-03-28,125+400,125+440,330
Limpieza de carril/pista y bermas T2,m2,2025-04-07,125+400,125+430,60
Limpieza Manual de Cuneta de Vía T2,ml,2025-04-14,125+394,125+495,80
Limpieza de Cajas de Inspección Subdren T2,und,2025-04-14,125+394,125+495,2
Remocion de Derrumbes T2,m3,2025-04-14,125+400,125+440,225
Limpieza de carril/pista y bermas T2,m2,2025-04-15,125+400,125+480,120
Limpieza de Guardavías T2,ml,2025-04-16,125+400,125+450,50
Remocion de Derrumbes T2,m3,2025-05-01,125+400,125+440,45
Remocion de Derrumbes T2,m3,2025-05-02,125+400,125+440,60
Limpieza Manual de Cuneta de Vía T2,ml,2025-05-22,125+394,125+495,96
Limpieza de Cajas de Inspección Subdren T2,und,2025-05-22,125+394,125+495,2
Limpieza de Cajas de Inspección Subdren T2,und,2025-05-22,125+394,125+495,2
Limpieza de carril/pista y bermas T2,m2,2025-06-03,125+400,125+460,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-06-27,125+394,125+495,101
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-06-27,125+394,125+495,101
Limpieza de Cajas de Inspección Subdren T2,und,2025-06-27,125+394,125+495,2
Limpieza Manual de Cuneta de Vía T2,ml,2025-06-30,125+400,125+440,12
Limpieza Manual de Cuneta de Vía T2,ml,2025-07-04,125+394,125+495,120
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-07-04,125+394,125+495,160
Reparación Parcial de Delineador T2,und,2025-08-13,125+300,125+320,6
Limpieza Manual de Cuneta de Vía T2,ml,2025-08-13,125+394,125+495,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-08-13,125+394,125+495,100
Pintura o Reaplicación por Aspersión T2,ml,2025-08-29,125+340,125+480,28
Limpieza Manual de Cuneta de Vía T2,ml,2025-09-15,125+394,125+495,80
Limpieza Manual de Zanjas de Coronación T2,ml,2025-09-15,125+394,125+495,101
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-09-15,125+394,125+495,101
Reparación de las Estructuras de Contención (gabión) T2,m3,2025-09-15,125+394,125+495,0.1
Limpieza de carril/pista y bermas T2,m2,2025-10-13,125+400,125+500,50
Desbroce Manual T2,m2,2025-10-27,125+300,125+500,600
Limpieza Manual de Cuneta de Vía T2,ml,2025-10-27,125+300,125+500,200
Limpieza Manual de Cuneta de Vía T2,ml,2025-10-27,125+394,125+495,99
Limpieza Manual de Zanjas de Coronación T2,ml,2025-10-27,125+394,125+495,101
Limpieza de Cajas de Inspección Subdren T2,und,2025-10-27,125+394,125+495,4
Pintura o Reaplicación por Aspersión T2,ml,2025-10-27,125+400,125+500,11
Limpieza Manual de Cuneta de Vía T2,ml,2025-10-27,125+420,125+410,10
Repintado de Postes de Señalización Vertical T2,m2,2025-10-27,125+420,125+420,1.56
Repintado de Postes de Señalización Vertical T2,m2,2025-10-27,125+423,125+423,1.56
Repintado de Postes de Señalización Vertical T2,m2,2025-10-27,125+440,125+440,1.56
Limpieza de Cauces T2,ml,2025-11-03,125+430,125+460,180
Limpieza de Cauces T2,ml,2025-11-04,125+430,125+460,180
Limpieza Manual de Cuneta de Vía T2,ml,2025-11-10,125+400,125+450,50
Limpieza Manual de Cuneta de Vía T2,ml,2025-11-10,125+440,125+500,60
Limpieza Manual de Cuneta de Vía T2,ml,2025-11-19,125+400,125+450,50
Limpieza de Guardavías T2,ml,2025-12-02,125+425,125+465,8
Limpieza Manual de Cuneta de Vía T2,ml,2025-12-10,125+400,125+450,600
Limpieza Manual de Zanjas de Coronación T2,ml,2025-12-16,125+394,125+495,180
Limpieza de Cajas de Inspección Subdren T2,und,2025-12-16,125+394,125+495,2
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-12-16,125+394,125+495,220
Reparación de las Estructuras de Contención (gabión) T2,m3,2025-12-16,125+394,125+495,0.1
Limpieza Manual de Cuneta de Vía T2,ml,2025-12-24,125+340,125+350,10
Limpieza Manual de Cuneta de Vía T2,ml,2025-12-24,125+400,125+440,40
Remocion de Derrumbes T2,m3,2026-01-07,125+410,125+470,75
Limpieza Manual de Zanjas de Coronación T2,ml,2026-01-14,125+394,125+495,101
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2026-01-14,125+394,125+495,101
Remocion de Derrumbes T2,m3,2026-01-14,125+420,125+480,160
Remocion de Derrumbes T2,m3,2026-01-15,125+420,125+480,120
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2026-01-15,125+420,125+420,14
Limpieza Manual de Cuneta de Vía T2,ml,2026-01-18,125+400,125+500,100
Limpieza de carril/pista y bermas T2,m2,2026-01-18,125+420,125+480,60
Remocion de Derrumbes T2,m3,2026-01-23,125+420,125+480,105
Remocion de Derrumbes T2,m3,2026-01-24,125+420,125+480,45
Remocion de Derrumbes T2,m3,2026-01-25,125+420,125+480,120
Remocion de Derrumbes T2,m3,2026-01-26,125+420,125+480,150
Remocion de Derrumbes T2,m3,2026-01-29,125+420,125+480,60
Limpieza de carril/pista y bermas T2,m2,2026-01-30,125+420,125+480,60
Remocion de Derrumbes T2,m3,2026-02-01,125+420,125+480,150
Remocion de Derrumbes T2,m3,2026-02-05,125+420,125+470,300
Limpieza de carril/pista y bermas T2,m2,2026-02-05,125+420,125+500,160
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2026-02-12,125+394,125+495,220
Limpieza de Cajas de Inspección Subdren T2,und,2026-02-12,125+394,125+495,1
Reparación de las Estructuras de Contención (gabión) T2,m3,2026-02-12,125+394,125+495,0.2
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2026-02-12,125+394,125+495,80
Remocion de Derrumbes T2,m3,2026-02-18,125+420,125+480,210
Limpieza de carril/pista y bermas T2,m2,2026-02-18,125+420,125+480,120
Desbroce Manual T2,m2,2026-02-19,125+300,125+500,400
Limpieza de carril/pista y bermas T2,m2,2026-02-23,125+300,125+480,20
Limpieza Manual de Cuneta de Vía T2,ml,2026-02-24,125+340,125+350,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2026-02-24,125+355,125+355,12
